SampleID,Raw_SampleID,Raw_bam,Spike_in_label,Sample_type,Spike_in_ratio,Replicate,Spike_in_name,Spike_in_resource,Bam_file,Bam_file_tumor,ichorCNA
K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_0,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,1.0,0,pool_Liver,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/pool_Liver.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_0.tumor.bam,0.04689
K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_0,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,10.0,0,pool_Liver,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/pool_Liver.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_0.tumor.bam,0.04644
K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_1,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,1.0,1,pool_Liver,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/pool_Liver.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_1.tumor.bam,0.04704
K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_0,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,0.5,0,ZMH056S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH056S/ZMH056S/ZMH056S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_0.tumor.bam,0.04705
K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_2,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,0.5,2,ZMH051S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH051S/ZMH051S/ZMH051S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_2.tumor.bam,0.04693
K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_1,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,10.0,1,ZMH053S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH053S/ZMH053S/ZMH053S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_1.tumor.bam,0.04691
K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_2,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,5.0,2,ZMH053S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH053S/ZMH053S/ZMH053S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_2.tumor.bam,0.04688
K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_2,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,0.1,2,ZMH048S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH048S/ZMH048S/ZMH048S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_2.tumor.bam,0.04683
K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_0,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,10.0,0,ZMH053S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH053S/ZMH053S/ZMH053S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_0.tumor.bam,0.04693
K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_1,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,0.1,1,ZMH048S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH048S/ZMH048S/ZMH048S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_1.tumor.bam,0.04693
K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_0,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,5.0,0,ZMH053S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH053S/ZMH053S/ZMH053S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_0.tumor.bam,0.04672
K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_2,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,10.0,2,ZMH053S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH053S/ZMH053S/ZMH053S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_2.tumor.bam,0.04743
K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_0,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,0.1,0,ZMH048S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH048S/ZMH048S/ZMH048S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_0.tumor.bam,0.04706
K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_1,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,5.0,1,ZMH053S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH053S/ZMH053S/ZMH053S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_1.tumor.bam,0.04756
K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_2,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,1.0,2,ZMH053S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH053S/ZMH053S/ZMH053S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_2.tumor.bam,0.04717
K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_2,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,0.5,2,ZMH048S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH048S/ZMH048S/ZMH048S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_2.tumor.bam,0.04698
K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_1,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,0.5,1,ZMH048S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH048S/ZMH048S/ZMH048S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_1.tumor.bam,0.04722
K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_0,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,1.0,0,ZMH053S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH053S/ZMH053S/ZMH053S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_0.tumor.bam,0.04696
K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_0,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,0.5,0,ZMH048S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH048S/ZMH048S/ZMH048S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_0.tumor.bam,0.04708
K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_1,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,1.0,1,ZMH053S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH053S/ZMH053S/ZMH053S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_1.tumor.bam,0.04705
K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_0,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,5.0,0,ZMH050S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZMH050S/ZMH050S/ZMH050S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_0.tumor.bam,0.04624
K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_1,K0805,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0805CT74T_M588-M788.deduplicated.bam,Liver,cfDNA,50.0,1,pool_Liver,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/pool_Liver.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_1.tumor.bam,0.05562
