,SampleID,Spike_in_label,Spike_in_ratio,ichorCNA
90,K0805_spike_in__001_from_ZMH048S_label_Liver_replicate_0,Liver,1.0,0.02797
91,K0805_spike_in__08_from_pool_Liver_label_Liver_replicate_1,Liver,80.0,0.2034
92,K0805_spike_in__0005_from_ZMH053S_label_Liver_replicate_1,Liver,0.5,0.02468
93,K0805_spike_in__08_from_pool_Liver_label_Liver_replicate_2,Liver,80.0,0.197
94,K0805_spike_in__0005_from_ZMH053S_label_Liver_replicate_2,Liver,0.5,0.02419
95,K0805_spike_in__001_from_ZMH048S_label_Liver_replicate_2,Liver,1.0,0.02802
96,K0009_spike_in__001_from_ZMG059S_label_Gastric_replicate_2,Gastric,1.0,0.02633
97,K0009_spike_in__0005_from_ZMG051S_label_Gastric_replicate_2,Gastric,0.5,0.0208
98,K0009_spike_in__005_from_ZMG059S_label_Gastric_replicate_2,Gastric,5.0,0.02133
99,K0009_spike_in__0001_from_ZMG051S_label_Gastric_replicate_2,Gastric,0.1,0.02592
100,K0009_spike_in__005_from_ZMG059S_label_Gastric_replicate_1,Gastric,5.0,0.02464
101,K0009_spike_in__001_from_ZMG059S_label_Gastric_replicate_0,Gastric,1.0,0.02567
102,K0009_spike_in__0005_from_ZMG051S_label_Gastric_replicate_0,Gastric,0.5,0.02586
103,K0009_spike_in__0001_from_ZMG051S_label_Gastric_replicate_1,Gastric,0.1,0.02574
104,K0009_spike_in__005_from_ZMG059S_label_Gastric_replicate_0,Gastric,5.0,0.02546
105,K0009_spike_in__001_from_ZMG059S_label_Gastric_replicate_1,Gastric,1.0,0.02593
106,K0009_spike_in__0005_from_ZMG051S_label_Gastric_replicate_1,Gastric,0.5,0.02585
107,K0009_spike_in__0001_from_ZMG051S_label_Gastric_replicate_0,Gastric,0.1,0.0259
108,K0009_spike_in__05_from_pool_Gastric_label_Gastric_replicate_2,Gastric,50.0,0.05365
109,K0009_spike_in__001_from_ZMG046S_label_Gastric_replicate_2,Gastric,1.0,0.02074
110,K0009_spike_in__005_from_ZMG048S_label_Gastric_replicate_0,Gastric,5.0,0.03961
111,K0009_spike_in__01_from_ZMG051S_label_Gastric_replicate_2,Gastric,10.0,0.02808
112,K0009_spike_in__001_from_ZMG048S_label_Gastric_replicate_1,Gastric,1.0,0.02618
113,K0009_spike_in__005_from_ZMG046S_label_Gastric_replicate_2,Gastric,5.0,0.02643
114,K0009_spike_in__005_from_ZMG048S_label_Gastric_replicate_1,Gastric,5.0,0.03831
115,K0009_spike_in__05_from_ZMG051S_label_Gastric_replicate_2,Gastric,50.0,0.03437
116,K0009_spike_in__001_from_ZMG048S_label_Gastric_replicate_0,Gastric,1.0,0.02563
117,K0009_spike_in__001_from_ZMG046S_label_Gastric_replicate_0,Gastric,1.0,0.02603
118,K0009_spike_in__005_from_ZMG046S_label_Gastric_replicate_1,Gastric,5.0,0.02328
119,K0009_spike_in__05_from_pool_Gastric_label_Gastric_replicate_0,Gastric,50.0,0.05064
120,K0009_spike_in__01_from_ZMG051S_label_Gastric_replicate_0,Gastric,10.0,0.02637
121,K0009_spike_in__005_from_ZMG048S_label_Gastric_replicate_2,Gastric,5.0,0.03723
122,K0009_spike_in__05_from_ZMG051S_label_Gastric_replicate_1,Gastric,50.0,0.0325
123,K0009_spike_in__001_from_ZMG046S_label_Gastric_replicate_1,Gastric,1.0,0.02544
124,K0009_spike_in__05_from_pool_Gastric_label_Gastric_replicate_1,Gastric,50.0,0.05397
125,K0009_spike_in__005_from_ZMG046S_label_Gastric_replicate_0,Gastric,5.0,0.02363
126,K0009_spike_in__01_from_ZMG051S_label_Gastric_replicate_1,Gastric,10.0,0.02566
127,K0009_spike_in__001_from_ZMG048S_label_Gastric_replicate_2,Gastric,1.0,0.0265
128,K0009_spike_in__05_from_ZMG051S_label_Gastric_replicate_0,Gastric,50.0,0.03362
129,K0009_spike_in__01_from_ZMG063S_label_Gastric_replicate_2,Gastric,10.0,0.02773
130,K0009_spike_in__01_from_ZMG063S_label_Gastric_replicate_1,Gastric,10.0,0.02323
131,K0009_spike_in__01_from_ZMG063S_label_Gastric_replicate_0,Gastric,10.0,0.02947
132,K0009_spike_in__01_from_pool_Gastric_label_Gastric_replicate_2,Gastric,10.0,0.02906
133,K0009_spike_in__0001_from_ZMG063S_label_Gastric_replicate_2,Gastric,0.1,0.02613
134,K0009_spike_in__0005_from_ZMG063S_label_Gastric_replicate_2,Gastric,0.5,0.02623
135,K0009_spike_in__0001_from_ZMG063S_label_Gastric_replicate_0,Gastric,0.1,0.02591
136,K0009_spike_in__0005_from_ZMG063S_label_Gastric_replicate_1,Gastric,0.5,0.02083
137,K0009_spike_in__01_from_pool_Gastric_label_Gastric_replicate_0,Gastric,10.0,0.02912
138,K0009_spike_in__0001_from_ZMG063S_label_Gastric_replicate_1,Gastric,0.1,0.02591
139,K0009_spike_in__01_from_pool_Gastric_label_Gastric_replicate_1,Gastric,10.0,0.02839
140,K0009_spike_in__0005_from_ZMG063S_label_Gastric_replicate_0,Gastric,0.5,0.02076
141,K0009_spike_in__08_from_pool_Gastric_label_Gastric_replicate_1,Gastric,80.0,0.08135
142,K0009_spike_in__001_from_ZMG063S_label_Gastric_replicate_1,Gastric,1.0,0.02134
143,K0009_spike_in__0001_from_pool_Gastric_label_Gastric_replicate_0,Gastric,0.1,0.02558
144,K0009_spike_in__005_from_ZMG063S_label_Gastric_replicate_0,Gastric,5.0,0.02732
145,K0009_spike_in__08_from_pool_Gastric_label_Gastric_replicate_0,Gastric,80.0,0.08102
146,K0009_spike_in__0001_from_pool_Gastric_label_Gastric_replicate_1,Gastric,0.1,0.02562
147,K0009_spike_in__001_from_ZMG063S_label_Gastric_replicate_0,Gastric,1.0,0.02098
148,K0009_spike_in__005_from_ZMG063S_label_Gastric_replicate_1,Gastric,5.0,0.02235
149,K0009_spike_in__005_from_ZMG063S_label_Gastric_replicate_2,Gastric,5.0,0.02533
150,K0009_spike_in__0001_from_pool_Gastric_label_Gastric_replicate_2,Gastric,0.1,0.0259
151,K0009_spike_in__08_from_pool_Gastric_label_Gastric_replicate_2,Gastric,80.0,0.08202
152,K0009_spike_in__001_from_ZMG063S_label_Gastric_replicate_2,Gastric,1.0,0.02668
153,K0009_spike_in__001_from_pool_Gastric_label_Gastric_replicate_2,Gastric,1.0,0.02633
154,K0009_spike_in__001_from_pool_Gastric_label_Gastric_replicate_0,Gastric,1.0,0.02533
155,K0009_spike_in__001_from_pool_Gastric_label_Gastric_replicate_1,Gastric,1.0,0.02598
156,K0009_spike_in__0001_from_ZMG046S_label_Gastric_replicate_1,Gastric,0.1,0.02585
157,K0009_spike_in__0005_from_pool_Gastric_label_Gastric_replicate_0,Gastric,0.5,0.02582
158,K0009_spike_in__01_from_ZMG059S_label_Gastric_replicate_0,Gastric,10.0,0.02641
159,K0009_spike_in__05_from_ZMG059S_label_Gastric_replicate_1,Gastric,50.0,0.06092
160,K0009_spike_in__0005_from_ZMG046S_label_Gastric_replicate_0,Gastric,0.5,0.02596
161,K0009_spike_in__0001_from_ZMG048S_label_Gastric_replicate_2,Gastric,0.1,0.02579
162,K0009_spike_in__0001_from_ZMG046S_label_Gastric_replicate_0,Gastric,0.1,0.02575
163,K0009_spike_in__0005_from_pool_Gastric_label_Gastric_replicate_1,Gastric,0.5,0.02585
164,K0009_spike_in__01_from_ZMG059S_label_Gastric_replicate_1,Gastric,10.0,0.02601
165,K0009_spike_in__05_from_ZMG059S_label_Gastric_replicate_0,Gastric,50.0,0.06417
166,K0009_spike_in__0005_from_ZMG046S_label_Gastric_replicate_1,Gastric,0.5,0.02596
167,K0009_spike_in__0005_from_ZMG048S_label_Gastric_replicate_2,Gastric,0.5,0.02533
168,K0009_spike_in__0005_from_ZMG046S_label_Gastric_replicate_2,Gastric,0.5,0.02601
169,K0009_spike_in__01_from_ZMG059S_label_Gastric_replicate_2,Gastric,10.0,0.02756
170,K0009_spike_in__0005_from_pool_Gastric_label_Gastric_replicate_2,Gastric,0.5,0.02635
171,K0009_spike_in__0005_from_ZMG048S_label_Gastric_replicate_1,Gastric,0.5,0.02616
172,K0009_spike_in__0001_from_ZMG048S_label_Gastric_replicate_0,Gastric,0.1,0.02589
173,K0009_spike_in__05_from_ZMG059S_label_Gastric_replicate_2,Gastric,50.0,0.0586
174,K0009_spike_in__0001_from_ZMG046S_label_Gastric_replicate_2,Gastric,0.1,0.02589
175,K0009_spike_in__0005_from_ZMG048S_label_Gastric_replicate_0,Gastric,0.5,0.02541
176,K0009_spike_in__0001_from_ZMG048S_label_Gastric_replicate_1,Gastric,0.1,0.02567
177,K0009_spike_in__0005_from_ZMG059S_label_Gastric_replicate_0,Gastric,0.5,0.02559
178,K0009_spike_in__005_from_pool_Gastric_label_Gastric_replicate_2,Gastric,5.0,0.02801
179,K0009_spike_in__0001_from_ZMG059S_label_Gastric_replicate_1,Gastric,0.1,0.02581
180,K0009_spike_in__01_from_ZMG046S_label_Gastric_replicate_0,Gastric,10.0,0.02539
181,K0009_spike_in__05_from_ZMG048S_label_Gastric_replicate_2,Gastric,50.0,0.1187
182,K0009_spike_in__005_from_ZMG051S_label_Gastric_replicate_1,Gastric,5.0,0.02577
183,K0009_spike_in__001_from_ZMG051S_label_Gastric_replicate_0,Gastric,1.0,0.02593
184,K0009_spike_in__0005_from_ZMG059S_label_Gastric_replicate_1,Gastric,0.5,0.02652
185,K0009_spike_in__0001_from_ZMG059S_label_Gastric_replicate_0,Gastric,0.1,0.02592
186,K0009_spike_in__01_from_ZMG046S_label_Gastric_replicate_1,Gastric,10.0,0.02473
187,K0009_spike_in__005_from_ZMG051S_label_Gastric_replicate_0,Gastric,5.0,0.0261
188,K0009_spike_in__001_from_ZMG051S_label_Gastric_replicate_1,Gastric,1.0,0.02601
189,K0009_spike_in__01_from_ZMG048S_label_Gastric_replicate_2,Gastric,10.0,0.04211
190,K0009_spike_in__01_from_ZMG046S_label_Gastric_replicate_2,Gastric,10.0,0.02801
191,K0009_spike_in__005_from_pool_Gastric_label_Gastric_replicate_0,Gastric,5.0,0.0262
192,K0009_spike_in__0005_from_ZMG059S_label_Gastric_replicate_2,Gastric,0.5,0.0262
193,K0009_spike_in__001_from_ZMG051S_label_Gastric_replicate_2,Gastric,1.0,0.02116
194,K0009_spike_in__01_from_ZMG048S_label_Gastric_replicate_1,Gastric,10.0,0.04228
195,K0009_spike_in__05_from_ZMG048S_label_Gastric_replicate_0,Gastric,50.0,0.1192
196,K0009_spike_in__0001_from_ZMG059S_label_Gastric_replicate_2,Gastric,0.1,0.02601
197,K0009_spike_in__005_from_pool_Gastric_label_Gastric_replicate_1,Gastric,5.0,0.02608
198,K0009_spike_in__01_from_ZMG048S_label_Gastric_replicate_0,Gastric,10.0,0.04218
199,K0009_spike_in__05_from_ZMG048S_label_Gastric_replicate_1,Gastric,50.0,0.1331
200,K0009_spike_in__005_from_ZMG051S_label_Gastric_replicate_2,Gastric,5.0,0.02772
201,K2AC24_spike_in__0001_from_ZNB03SR2_label_Breast_replicate_0,Breast,0.1,0.02333
202,K2AC24_spike_in__0005_from_ZMH056S_label_Liver_replicate_0,Liver,0.5,0.02387
203,K2AC24_spike_in__0005_from_ZNB03SR2_label_Breast_replicate_1,Breast,0.5,0.02684
204,K2AC24_spike_in__01_from_ZMH053S_label_Liver_replicate_1,Liver,10.0,0.04415
205,K2AC24_spike_in__01_from_ZNB32S_label_Breast_replicate_1,Breast,10.0,0.02668
206,K2AC24_spike_in__0005_from_ZMH051S_label_Liver_replicate_2,Liver,0.5,0.0244
207,K2AC24_spike_in__005_from_ZMH056S_label_Liver_replicate_1,Liver,5.0,0.0438
208,K2AC24_spike_in__001_from_ZNB06SR3_label_Breast_replicate_1,Breast,1.0,0.0275
209,K2AC24_spike_in__005_from_ZNB06SR3_label_Breast_replicate_0,Breast,5.0,0.03768
210,K2AC24_spike_in__0005_from_ZMH056S_label_Liver_replicate_1,Liver,0.5,0.02381
211,K2AC24_spike_in__005_from_ZMH051S_label_Liver_replicate_2,Liver,5.0,0.05121
212,K2AC24_spike_in__0001_from_ZNB03SR2_label_Breast_replicate_1,Breast,0.1,0.0231
213,K2AC24_spike_in__005_from_ZMH056S_label_Liver_replicate_0,Liver,5.0,0.04547
214,K2AC24_spike_in__01_from_ZNB32S_label_Breast_replicate_0,Breast,10.0,0.02723
215,K2AC24_spike_in__01_from_ZMH053S_label_Liver_replicate_0,Liver,10.0,0.04228
216,K2AC24_spike_in__0005_from_ZNB03SR2_label_Breast_replicate_0,Breast,0.5,0.02638
217,K2AC24_spike_in__001_from_ZNB06SR3_label_Breast_replicate_0,Breast,1.0,0.02789
218,K2AC24_spike_in__005_from_ZNB06SR3_label_Breast_replicate_1,Breast,5.0,0.03739
219,K2AC24_spike_in__0005_from_ZMH051S_label_Liver_replicate_0,Liver,0.5,0.02424
220,K2AC24_spike_in__005_from_ZMH051S_label_Liver_replicate_1,Liver,5.0,0.05073
221,K2AC24_spike_in__0005_from_ZMH056S_label_Liver_replicate_2,Liver,0.5,0.02375
222,K2AC24_spike_in__0001_from_ZNB03SR2_label_Breast_replicate_2,Breast,0.1,0.02708
223,K2AC24_spike_in__005_from_ZNB06SR3_label_Breast_replicate_2,Breast,5.0,0.03878
224,K2AC24_spike_in__01_from_ZMH053S_label_Liver_replicate_2,Liver,10.0,0.04354
225,K2AC24_spike_in__0005_from_ZNB03SR2_label_Breast_replicate_2,Breast,0.5,0.0263
226,K2AC24_spike_in__005_from_ZMH056S_label_Liver_replicate_2,Liver,5.0,0.04572
227,K2AC24_spike_in__0005_from_ZMH051S_label_Liver_replicate_1,Liver,0.5,0.02368
228,K2AC24_spike_in__01_from_ZNB32S_label_Breast_replicate_2,Breast,10.0,0.0265
229,K2AC24_spike_in__005_from_ZMH051S_label_Liver_replicate_0,Liver,5.0,0.04973
230,K2AC24_spike_in__001_from_ZNB06SR3_label_Breast_replicate_2,Breast,1.0,0.02857
231,K2AC24_spike_in__0005_from_ZNB05S_label_Breast_replicate_1,Breast,0.5,0.02323
232,K2AC24_spike_in__0001_from_ZMH048S_label_Liver_replicate_0,Liver,0.1,0.02341
233,K2AC24_spike_in__08_from_pool_Liver_label_Liver_replicate_0,Liver,80.0,0.2044
234,K2AC24_spike_in__001_from_ZMH048S_label_Liver_replicate_1,Liver,1.0,0.03127
235,K2AC24_spike_in__005_from_ZNB05S_label_Breast_replicate_0,Breast,5.0,0.02707
236,K2AC24_spike_in__001_from_pool_Liver_label_Liver_replicate_2,Liver,1.0,0.02398
237,K2AC24_spike_in__08_from_pool_Liver_label_Liver_replicate_1,Liver,80.0,0.2044
238,K2AC24_spike_in__0001_from_ZMH048S_label_Liver_replicate_1,Liver,0.1,0.02371
239,K2AC24_spike_in__0005_from_ZNB05S_label_Breast_replicate_0,Breast,0.5,0.02327
240,K2AC24_spike_in__05_from_ZMH050S_label_Liver_replicate_2,Liver,50.0,0.1067
241,K2AC24_spike_in__005_from_ZNB05S_label_Breast_replicate_1,Breast,5.0,0.02441
242,K2AC24_spike_in__001_from_ZMH048S_label_Liver_replicate_0,Liver,1.0,0.03169
243,K2AC24_spike_in__001_from_pool_Liver_label_Liver_replicate_1,Liver,1.0,0.02361
244,K2AC24_spike_in__05_from_ZMH050S_label_Liver_replicate_1,Liver,50.0,0.1051
245,K2AC24_spike_in__005_from_ZNB05S_label_Breast_replicate_2,Breast,5.0,0.02549
246,K2AC24_spike_in__08_from_pool_Liver_label_Liver_replicate_2,Liver,80.0,0.1986
247,K2AC24_spike_in__0001_from_ZMH048S_label_Liver_replicate_2,Liver,0.1,0.02375
248,K2AC24_spike_in__001_from_pool_Liver_label_Liver_replicate_0,Liver,1.0,0.0228
249,K2AC24_spike_in__001_from_ZMH048S_label_Liver_replicate_2,Liver,1.0,0.03139
250,K2AC24_spike_in__05_from_ZMH050S_label_Liver_replicate_0,Liver,50.0,0.1055
251,K2AC24_spike_in__0005_from_ZNB05S_label_Breast_replicate_2,Breast,0.5,0.02333
252,K2AC24_spike_in__08_from_pool_Lung_label_Lung_replicate_1,Lung,80.0,0.1572
253,K2AC24_spike_in__001_from_ZNL08S_label_Lung_replicate_2,Lung,1.0,0.02683
254,K2AC24_spike_in__0005_from_ZNL08S_label_Lung_replicate_1,Lung,0.5,0.02652
255,K2AC24_spike_in__05_from_pool_Lung_label_Lung_replicate_1,Lung,50.0,0.1138
256,K2AC24_spike_in__005_from_ZNL08S_label_Lung_replicate_0,Lung,5.0,0.03472
257,K2AC24_spike_in__005_from_pool_Liver_label_Liver_replicate_1,Liver,5.0,0.03824
258,K2AC24_spike_in__01_from_ZNB03SR2_label_Breast_replicate_1,Breast,10.0,0.06538
259,K2AC24_spike_in__005_from_ZNL15S_label_Lung_replicate_2,Lung,5.0,0.04866
260,K2AC24_spike_in__001_from_ZNL15S_label_Lung_replicate_0,Lung,1.0,0.02738
261,K2AC24_spike_in__0001_from_ZNL15S_label_Lung_replicate_1,Lung,0.1,0.02332
262,K2AC24_spike_in__005_from_pool_Lung_label_Lung_replicate_0,Lung,5.0,0.03274
263,K2AC24_spike_in__0001_from_ZNB05S_label_Breast_replicate_1,Breast,0.1,0.0234
264,K2AC24_spike_in__0005_from_ZMH048S_label_Liver_replicate_0,Liver,0.5,0.02427
265,K2AC24_spike_in__08_from_pool_Breast_label_Breast_replicate_2,Breast,80.0,0.1166
266,K2AC24_spike_in__005_from_ZMH048S_label_Liver_replicate_1,Liver,5.0,0.05092
267,K2AC24_spike_in__001_from_ZNB05S_label_Breast_replicate_0,Breast,1.0,0.02707
268,K2AC24_spike_in__01_from_ZNL09S_label_Lung_replicate_1,Lung,10.0,0.0273
269,K2AC24_spike_in__05_from_pool_Lung_label_Lung_replicate_0,Lung,50.0,0.116
270,K2AC24_spike_in__005_from_pool_Liver_label_Liver_replicate_0,Liver,5.0,0.03814
271,K2AC24_spike_in__0001_from_pool_Lung_label_Lung_replicate_2,Lung,0.1,0.02321
272,K2AC24_spike_in__005_from_ZNL08S_label_Lung_replicate_1,Lung,5.0,0.03535
273,K2AC24_spike_in__0005_from_ZNL08S_label_Lung_replicate_0,Lung,0.5,0.02603
274,K2AC24_spike_in__0001_from_ZNL08S_label_Lung_replicate_2,Lung,0.1,0.02284
275,K2AC24_spike_in__08_from_pool_Lung_label_Lung_replicate_0,Lung,80.0,0.1617
276,K2AC24_spike_in__0001_from_ZNL15S_label_Lung_replicate_0,Lung,0.1,0.02337
277,K2AC24_spike_in__005_from_pool_Lung_label_Lung_replicate_1,Lung,5.0,0.03231
278,K2AC24_spike_in__001_from_ZNL15S_label_Lung_replicate_1,Lung,1.0,0.02734
279,K2AC24_spike_in__0005_from_ZNL15S_label_Lung_replicate_2,Lung,0.5,0.02327
280,K2AC24_spike_in__01_from_ZNB03SR2_label_Breast_replicate_0,Breast,10.0,0.06572
281,K2AC24_spike_in__0005_from_ZMH048S_label_Liver_replicate_1,Liver,0.5,0.02418
282,K2AC24_spike_in__0001_from_ZNB05S_label_Breast_replicate_0,Breast,0.1,0.02321
283,K2AC24_spike_in__01_from_ZNL14S_label_Lung_replicate_2,Lung,10.0,0.03315
284,K2AC24_spike_in__01_from_ZMH050S_label_Liver_replicate_2,Liver,10.0,0.0391
